Stamp,StationId,SpeedLimit,Dis2inter,Str_is_val,StrSignalState,StrlikelyEndTime,Left_is_val,LeftSignalState,LeftlikelyEndTime,Right_is_val,RighSignalState,RightlikelyEndTime
1600671626.705,8004,16.667,76.9,1,3,6.800000000000001,1,5,3.8000000000000003,0,5,29.8
1600671626.805,8004,16.667,76.9,1,3,6.7,1,5,3.7,0,5,29.700000000000003
1600671626.905,8004,16.667,76.9,1,3,6.6000000000000005,1,5,3.6,0,5,29.6
1600671627.005,8004,16.667,76.9,1,3,6.5,1,5,3.5,0,5,29.5
1600671627.105,8004,16.667,76.9,1,3,6.4,1,5,3.4000000000000004,0,5,29.400000000000002
1600671627.205,8004,16.667,76.9,1,3,6.300000000000001,1,5,3.3000000000000003,0,5,29.3
1600671627.305,8004,16.667,76.9,1,3,6.2,1,5,3.2,0,5,29.200000000000003
1600671627.405,8004,16.667,76.9,1,3,6.1000000000000005,1,5,3.1,0,5,29.1
1600671627.505,8004,16.667,76.9,1,3,6.0,1,5,3.0,0,5,29.0
1600671627.605,8004,16.667,76.8,1,3,5.9,1,5,2.9000000000000004,0,5,28.900000000000002
1600671627.705,8004,16.667,76.8,1,3,5.800000000000001,1,5,2.8000000000000003,0,5,28.8
1600671627.805,8004,16.667,76.8,1,3,5.7,1,5,2.7,0,5,28.700000000000003
1600671627.905,8004,16.667,76.8,1,3,5.6000000000000005,1,5,2.6,0,5,28.6
1600671628.005,8004,16.667,76.8,1,3,5.5,1,5,2.5,0,5,28.5
1600671628.105,8004,16.667,76.8,1,3,5.4,1,5,2.4000000000000004,0,5,28.400000000000002
1600671628.205,8004,16.667,76.8,1,3,5.300000000000001,1,5,2.3000000000000003,0,5,28.3
1600671628.305,8004,16.667,76.8,1,3,5.2,1,5,2.2,0,5,28.200000000000003
1600671628.405,8004,16.667,76.8,1,3,5.1000000000000005,1,5,2.1,0,5,28.1
1600671628.505,8004,16.667,76.8,1,3,5.0,1,5,2.0,0,5,28.0
