curTimeStamp,longitude,latitude,UtmX,UtmY,Yaw,Speed,stationId,SpeedLimit,dis2inter,Str_is_val,StrSignalState,StrlikelyEndTime,Left_is_val,LeftSignalState,LeftlikelyEndTime,Right_is_val,RighSignalState,RightlikelyEndTime,TarId,TarDistance,TarAngle,TarSpeed
1600671785.538170	,118.759886	,31.977757	,666282.286801	,3539322.958666	,4.602576	,40.389421	,8003	,16.667000	,127.000000	,1	,5	,36.500000	,1	,3	,39.500000	,0	,0	,3276.700000	
1600671785.638908	,118.759874	,31.977756	,666281.174292	,3539322.819797	,4.602216	,40.405991	,8003	,16.667000	,127.000000	,1	,5	,36.400000	,1	,3	,39.400000	,0	,0	,3276.700000	
1600671785.738670	,118.759862	,31.977755	,666280.061343	,3539322.680962	,4.602139	,40.430976	,8003	,16.667000	,127.000000	,1	,5	,36.300000	,1	,3	,39.300000	,0	,0	,3276.700000	
1600671785.739185	,118.759856	,31.977755	,666279.509896	,3539322.612466	,4.602054	,40.437327	,8003	,16.667000	,127.000000	,1	,5	,36.200000	,1	,3	,39.200000	,0	,0	,3276.700000	
1600671785.841578	,118.759844	,31.977753	,666278.393394	,3539322.473485	,4.601927	,40.487812	,8003	,16.667000	,127.000000	,1	,5	,36.100000	,1	,3	,39.100000	,0	,0	,3276.700000	
1600671785.940471	,118.759832	,31.977752	,666277.275532	,3539322.333393	,4.601858	,40.540477	,8003	,16.667000	,127.000000	,1	,5	,36.000000	,1	,3	,39.000000	,0	,0	,3276.700000	
1600671786.138531	,118.759815	,31.977751	,666275.596984	,3539322.117460	,4.602039	,40.653028	,8003	,16.667000	,127.000000	,1	,5	,35.900000	,1	,3	,38.900000	,0	,0	,3276.700000	
1600671786.238414	,118.759803	,31.977750	,666274.480874	,3539321.972836	,4.602233	,40.771387	,8003	,16.667000	,127.000000	,1	,5	,35.800000	,1	,3	,38.800000	,0	,0	,3276.700000	
1600671786.338133	,118.759791	,31.977748	,666273.349242	,3539321.827324	,4.602404	,40.887502	,8003	,16.667000	,127.000000	,1	,5	,35.700000	,1	,3	,38.700000	,0	,0	,3276.700000	
1600671786.438982	,118.759779	,31.977747	,666272.215385	,3539321.683478	,4.602590	,40.988644	,8003	,16.667000	,115.800000	,1	,5	,35.600000	,1	,3	,38.600000	,0	,0	,3276.700000	
1600671786.538495	,118.759767	,31.977746	,666271.071053	,3539321.537303	,4.602809	,41.149133	,8003	,16.667000	,115.800000	,1	,5	,35.500000	,1	,3	,38.500000	,0	,0	,3276.700000	
1600671786.638103	,118.759755	,31.977745	,666269.938131	,3539321.396696	,4.603235	,41.241778	,8003	,16.667000	,115.800000	,1	,5	,35.400000	,1	,3	,38.400000	,0	,0	,3276.700000	
1600671786.739106	,118.759743	,31.977744	,666268.792401	,3539321.255212	,4.603945	,41.297513	,8003	,16.667000	,115.800000	,1	,5	,35.300000	,1	,3	,38.300000	,0	,0	,3276.700000	
1600671786.838818	,118.759730	,31.977743	,666267.644947	,3539321.111260	,4.604730	,41.339656	,8003	,16.667000	,115.800000	,1	,5	,35.200000	,1	,3	,38.200000	,0	,0	,3276.700000	
1600671786.938465	,118.759718	,31.977742	,666266.508869	,3539320.969721	,4.605173	,41.350653	,8003	,16.667000	,115.800000	,1	,5	,35.100000	,1	,3	,38.100000	,0	,0	,3276.700000	
1600671787.038274	,118.759706	,31.977741	,666265.363941	,3539320.826984	,4.605772	,41.327478	,8003	,16.667000	,115.800000	,1	,5	,35.000000	,1	,3	,38.000000	,0	,0	,3276.700000	
1600671787.137872	,118.759694	,31.977739	,666264.217656	,3539320.685956	,4.606287	,41.306181	,8003	,16.667000	,115.800000	,1	,5	,34.900000	,1	,3	,37.900000	,0	,0	,3276.700000	
1600671787.239078	,118.759682	,31.977738	,666263.072638	,3539320.546993	,4.606420	,41.270379	,8003	,16.667000	,115.800000	,1	,5	,34.800000	,1	,3	,37.800000	,0	,0	,3276.700000	
