stationID	curTimeStamp	curSpeed	bottomSpeed	upperSpeed
8011	1600671866.742	-0.0	5.6	16.7
8011	1600671867.242	-0.0	5.6	16.7
8011	1600671867.741	-0.0	5.6	16.7
8011	1600671868.240	-0.0	5.6	16.7
8011	1600671868.742	-0.0	5.6	16.7
8011	1600671869.240	-0.0	5.6	16.7
8011	1600671869.741	-0.0	5.6	16.7
8011	1600671870.242	-0.0	5.6	16.7
8011	1600671870.742	-0.0	5.6	16.7
8011	1600671871.240	-0.0	5.6	16.7
8011	1600671871.741	0.0	5.6	16.7
8011	1600671872.241	0.3	5.6	16.7
8011	1600671872.741	0.6	5.6	16.7
8011	1600671873.242	1.0	5.6	16.7
8011	1600671873.742	1.6	5.6	16.7
8011	1600671874.241	2.2	5.6	16.7
8011	1600671874.741	2.8	5.6	16.7
8011	1600671875.241	3.2	5.6	16.7
8011	1600671875.741	3.9	5.6	16.7
8011	1600671876.242	4.5	5.6	16.7
8011	1600671876.741	5.2	5.6	16.7
8011	1600671877.244	5.7	5.6	16.7
8011	1600671877.742	6.2	5.6	16.7
8011	1600671878.241	6.7	5.6	16.7
8011	1600671878.741	7.2	5.6	16.7
8011	1600671879.241	7.5	5.6	16.7
8011	1600671879.742	7.9	5.6	16.7
8011	1600671880.241	8.2	5.6	16.7
8011	1600671880.742	8.4	5.6	16.7
8011	1600671881.242	8.5	5.6	16.7
8011	1600671881.744	8.7	5.6	16.7
8011	1600671882.242	8.8	5.6	16.7
8011	1600671882.741	9.0	5.6	16.7
8011	1600671883.241	9.3	5.6	16.7
8011	1600671883.742	9.5	5.6	16.7
8011	1600671884.243	9.7	5.6	16.7
8011	1600671884.743	9.9	5.6	16.7
8011	1600671885.242	10.1	5.6	16.7
8011	1600671885.742	10.4	0.0	0.0
8011	1600671886.243	10.7	0.0	0.0
8011	1600671886.741	11.0	0.0	0.0
8011	1600671887.241	11.4	0.0	0.0
8011	1600671887.742	11.7	0.0	0.0
8011	1600671888.241	12.2	0.0	0.0
8011	1600671888.741	12.6	0.0	0.0
8011	1600671889.242	12.9	0.0	0.0
8011	1600671889.742	13.1	0.0	0.0
8011	1600671890.241	13.3	0.0	0.0
8011	1600671890.541	13.3	5.6	16.7
8012	1600671921.242	10.0	0.0	0.0
8012	1600671921.742	9.9	0.0	0.0
8012	1600671922.242	9.8	0.0	0.0
8012	1600671922.742	9.7	0.0	0.0
8012	1600671923.242	9.6	0.0	0.0
8012	1600671923.743	9.6	0.0	0.0
8012	1600671924.242	9.6	0.0	0.0
8012	1600671924.742	9.6	0.0	0.0
8012	1600671925.243	9.7	0.0	0.0
8012	1600671925.742	9.7	0.0	0.0
8012	1600671926.243	9.3	0.0	0.0
8012	1600671926.444	9.3	0.0	0.0
8013	1600671949.260	10.5	9.3	16.7
8013	1600671949.761	10.5	9.3	16.7
8013	1600671950.259	10.6	9.3	16.7
8013	1600671950.760	10.7	9.3	16.7
8013	1600671951.261	10.9	9.3	16.7
8013	1600671951.760	11.1	9.2	16.7
8013	1600671952.259	11.2	9.2	16.7
8013	1600671952.760	11.1	9.2	16.7
8013	1600671953.260	11.1	9.1	16.7
8013	1600671953.754	11.0	9.1	16.7
8013	1600671954.260	10.9	9.1	16.7
8013	1600671954.660	10.8	9.1	16.7
