stationID	curTimeStamp	bottomSpeed	upperSpeed
8017.0	1598592532.837	12.4	5.6
8017.0	1598592533.337	12.4	5.6
8017.0	1598592533.837	12.4	5.6
8017.0	1598592534.337	12.3	5.6
8017.0	1598592534.837	12.2	5.6
8017.0	1598592535.337	12.0	5.6
8017.0	1598592535.836	11.9	5.6
8017.0	1598592536.336	11.8	5.6
8017.0	1598592536.436	11.8	5.6
