stationID	curTimeStamp	curSpeed	bottomSpeed	upperSpeed
27012	1600677137.694	13.1	0.0	0.0
27012	1600677138.194	13.0	0.0	0.0
27012	1600677138.694	13.0	0.0	0.0
27012	1600677139.195	12.9	0.0	0.0
27012	1600677139.694	12.8	0.0	0.0
27012	1600677140.194	12.7	0.0	0.0
27012	1600677140.695	12.7	0.0	0.0
27012	1600677141.194	12.7	0.0	0.0
27012	1600677141.694	12.6	0.0	0.0
27012	1600677142.194	12.5	0.0	0.0
27012	1600677142.594	12.5	0.0	0.0
27012	1600677148.794	10.5	0.0	0.0
27012	1600677149.293	10.6	0.0	0.0
27012	1600677149.794	10.6	0.0	0.0
27012	1600677150.294	10.6	0.0	0.0
27012	1600677150.794	10.4	0.0	0.0
27012	1600677151.294	10.2	0.0	0.0
27012	1600677151.794	9.9	0.0	0.0
27012	1600677152.293	9.6	0.0	0.0
27012	1600677152.794	9.3	0.0	0.0
27012	1600677153.293	8.9	0.0	0.0
27012	1600677153.794	8.5	0.0	0.0
27012	1600677154.294	8.1	0.0	0.0
27012	1600677154.794	7.7	0.0	0.0
27012	1600677155.293	7.2	0.0	0.0
27012	1600677155.794	6.8	0.0	0.0
27012	1600677156.294	6.4	0.0	0.0
27012	1600677156.794	6.0	0.0	0.0
27012	1600677157.293	5.6	0.0	0.0
27012	1600677157.794	5.3	0.0	0.0
27012	1600677158.293	5.0	0.0	0.0
27012	1600677158.794	4.8	0.0	0.0
27012	1600677159.293	4.5	0.0	0.0
27012	1600677159.794	4.2	0.0	0.0
27012	1600677160.293	3.8	0.0	0.0
27012	1600677160.793	3.2	0.0	0.0
27012	1600677161.294	2.4	0.0	0.0
27012	1600677161.794	1.4	0.0	0.0
27012	1600677162.293	0.7	0.0	0.0
27012	1600677162.793	0.2	0.0	0.0
27012	1600677163.293	-0.0	0.0	0.0
27012	1600677163.793	-0.1	0.0	0.0
27012	1600677164.294	-0.0	0.0	0.0
27012	1600677164.793	0.0	0.0	0.0
27012	1600677165.293	0.0	0.0	0.0
27012	1600677165.794	0.0	0.0	0.0
27012	1600677166.293	0.0	0.0	0.0
27012	1600677166.794	0.0	0.0	0.0
27012	1600677167.293	0.0	0.0	0.0
27012	1600677167.793	0.0	0.0	0.0
27012	1600677168.294	0.0	0.0	0.0
27012	1600677168.793	0.0	0.0	0.0
27012	1600677169.293	0.0	0.0	0.0
27012	1600677169.794	-0.0	0.0	0.0
27012	1600677170.293	0.0	0.0	0.0
27012	1600677170.793	0.0	0.0	0.0
27012	1600677171.293	0.0	0.0	0.0
27012	1600677171.793	0.0	0.0	0.0
27012	1600677172.293	0.0	0.0	0.0
27012	1600677172.793	0.0	0.0	0.0
27012	1600677173.294	0.0	0.0	0.0
27012	1600677173.794	0.0	0.0	0.0
27012	1600677174.293	0.0	0.0	0.0
27012	1600677174.793	0.0	0.0	0.0
27012	1600677175.293	0.0	0.0	0.0
27012	1600677175.493	0.0	0.0	0.0
27012	1600677179.593	0.0	0.0	0.0
27012	1600677180.092	0.0	0.0	0.0
27012	1600677180.593	0.0	0.0	0.0
27012	1600677181.093	0.0	0.0	0.0
27012	1600677181.593	0.0	0.0	0.0
27012	1600677182.094	0.0	0.0	0.0
27012	1600677182.593	0.0	0.0	0.0
27012	1600677183.093	0.0	0.0	0.0
27012	1600677183.593	0.0	0.0	0.0
27012	1600677184.092	0.0	0.0	0.0
27012	1600677184.592	0.0	0.0	0.0
27012	1600677185.094	0.0	0.0	0.0
27012	1600677185.593	0.0	0.0	0.0
27012	1600677186.092	0.0	0.0	0.0
27012	1600677186.593	0.0	0.0	0.0
27012	1600677187.092	0.0	0.0	0.0
27012	1600677187.593	0.0	0.0	0.0
27012	1600677188.093	0.0	0.0	0.0
27012	1600677188.592	0.0	0.0	0.0
27012	1600677189.093	0.0	0.0	0.0
27012	1600677189.593	0.0	0.0	0.0
27012	1600677190.093	0.0	0.0	0.0
27012	1600677190.592	0.0	0.0	0.0
27012	1600677191.093	0.0	0.0	0.0
27012	1600677191.592	0.0	0.0	0.0
27012	1600677192.092	0.0	0.0	0.0
27012	1600677192.592	0.0	0.0	0.0
27012	1600677193.092	0.0	0.0	0.0
27012	1600677193.593	0.0	0.0	0.0
27012	1600677194.092	0.0	0.0	0.0
27012	1600677194.593	0.0	0.0	0.0
27012	1600677195.093	0.0	0.0	0.0
27012	1600677195.593	0.0	0.0	0.0
27012	1600677196.092	0.0	0.0	0.0
27012	1600677196.592	0.0	0.0	0.0
27012	1600677197.092	0.0	0.0	0.0
27012	1600677197.593	0.0	0.0	0.0
27012	1600677198.092	0.0	0.0	0.0
27012	1600677198.593	0.0	0.0	0.0
27012	1600677199.192	0.0	0.0	0.0
27012	1600677199.692	0.0	0.0	0.0
27012	1600677200.192	0.0	0.0	0.0
27012	1600677200.692	-0.0	0.0	0.0
27012	1600677201.192	0.0	0.0	0.0
27012	1600677201.692	0.0	0.0	0.0
27012	1600677202.191	0.0	0.0	0.0
27012	1600677202.692	0.0	0.0	0.0
27012	1600677203.192	0.0	0.0	0.0
27012	1600677203.692	0.0	0.0	0.0
27012	1600677204.192	0.0	0.0	0.0
27012	1600677204.692	0.0	0.0	0.0
27012	1600677205.192	0.0	0.0	0.0
27012	1600677205.692	0.0	0.0	0.0
27012	1600677206.192	-0.0	0.0	0.0
27012	1600677206.692	0.0	0.0	0.0
27012	1600677207.192	0.0	0.0	0.0
27012	1600677207.693	0.0	0.0	0.0
27012	1600677208.192	0.0	0.0	0.0
27012	1600677208.693	0.0	0.0	0.0
27012	1600677209.192	0.0	0.0	0.0
27012	1600677209.693	0.0	0.0	0.0
27012	1600677210.091	0.0	0.0	0.0
27012	1600677210.591	0.0	0.0	0.0
27012	1600677211.092	0.0	0.0	0.0
27012	1600677214.192	0.0	0.0	0.0
27012	1600677214.691	0.0	0.0	0.0
27012	1600677215.191	0.0	0.0	0.0
27012	1600677215.692	0.0	0.0	0.0
27012	1600677216.191	0.0	0.0	0.0
27012	1600677216.692	0.0	0.0	0.0
27012	1600677217.192	0.0	0.0	0.0
27012	1600677217.691	0.0	0.0	0.0
27012	1600677218.191	0.0	0.0	0.0
27012	1600677218.692	0.0	0.0	0.0
27012	1600677219.191	0.0	0.0	0.0
27012	1600677219.692	0.0	0.0	0.0
27012	1600677220.192	0.0	0.0	0.0
27012	1600677220.692	0.0	0.0	0.0
27012	1600677221.191	0.0	0.0	0.0
27012	1600677221.691	0.0	0.0	0.0
27012	1600677222.192	0.0	0.0	0.0
27012	1600677222.691	0.0	0.0	0.0
27012	1600677223.191	0.0	0.0	0.0
27012	1600677223.691	0.0	0.0	0.0
27012	1600677224.192	0.0	0.0	0.0
27012	1600677224.691	0.0	0.0	0.0
27012	1600677225.192	0.0	0.0	0.0
27012	1600677225.691	0.0	0.0	0.0
27012	1600677226.191	0.0	0.0	0.0
27012	1600677226.691	0.0	0.0	0.0
27012	1600677227.191	0.0	0.0	0.0
27012	1600677227.690	0.0	0.0	0.0
27012	1600677228.191	0.0	0.0	0.0
27012	1600677228.691	0.0	0.0	0.0
27012	1600677229.191	0.0	0.0	0.0
27012	1600677229.692	0.0	0.0	0.0
27012	1600677230.191	0.0	0.0	0.0
27012	1600677230.691	0.0	0.0	0.0
