1598544196.620	118.757	31.966	666053.866549	3538045.841702	0.0252
1598544196.720	118.757	31.966	666053.866205	3538045.841784	0.0252
1598544196.820	118.757	31.966	666053.866067	3538045.841337	0.0252
1598544196.920	118.757	31.966	666053.866190	3538045.840458	0.0251
1598544197.020	118.757	31.966	666053.866390	3538045.840085	0.0252
1598544197.020	118.757	31.966	666053.866561	3538045.839895	0.0252
1598544197.120	118.757	31.966	666053.866890	3538045.839668	0.0252
1598544197.120	118.757	31.966	666053.867150	3538045.839549	0.0252
1598544197.220	118.757	31.966	666053.867592	3538045.839188	0.0252
1598544197.220	118.757	31.966	666053.867973	3538045.839060	0.0252
1598544197.320	118.757	31.966	666053.868188	3538045.838724	0.0252
1598544197.320	118.757	31.966	666053.868321	3538045.838480	0.0252
1598544197.420	118.757	31.966	666053.868369	3538045.838315	0.0252
1598544197.420	118.757	31.966	666053.868185	3538045.838424	0.0252
1598544197.520	118.757	31.966	666053.867991	3538045.838834	0.0251
1598544197.520	118.757	31.966	666053.867794	3538045.839264	0.0252
1598544197.620	118.757	31.966	666053.867691	3538045.839257	0.0251
1598544197.620	118.757	31.966	666053.867919	3538045.839344	0.0251
1598544197.720	118.757	31.966	666053.867956	3538045.839229	0.0251
1598544197.720	118.757	31.966	666053.867934	3538045.839190	0.0251
1598544197.820	118.757	31.966	666053.868161	3538045.839299	0.0251
1598544197.820	118.757	31.966	666053.868343	3538045.839238	0.0251
1598544197.920	118.757	31.966	666053.868520	3538045.839022	0.0251
1598544197.920	118.757	31.966	666053.868689	3538045.838736	0.0251
1598544198.020	118.757	31.966	666053.868772	3538045.838517	0.0251
1598544198.020	118.757	31.966	666053.869174	3538045.838793	0.0251
1598544198.120	118.757	31.966	666053.869898	3538045.839264	0.0250
1598544198.120	118.757	31.966	666053.870399	3538045.839298	0.0251
1598544198.220	118.757	31.966	666053.871060	3538045.839869	0.0251
1598544198.220	118.757	31.966	666053.871236	3538045.839779	0.0250
1598544198.320	118.757	31.966	666053.871575	3538045.839504	0.0250
1598544198.320	118.757	31.966	666053.871977	3538045.839310	0.0250
1598544198.420	118.757	31.966	666053.872087	3538045.838951	0.0250
1598544198.420	118.757	31.966	666053.872144	3538045.838532	0.0250
1598544198.520	118.757	31.966	666053.872197	3538045.838110	0.0250
1598544198.520	118.757	31.966	666053.872243	3538045.837736	0.0250
1598544198.620	118.757	31.966	666053.872273	3538045.837490	0.0250
1598544198.620	118.757	31.966	666053.871510	3538045.837021	0.0250
1598544198.720	118.757	31.966	666053.871862	3538045.836795	0.0250
1598544198.720	118.757	31.966	666053.871547	3538045.836376	0.0250
1598544198.820	118.757	31.966	666053.871081	3538045.835998	0.0250
1598544198.820	118.757	31.966	666053.870617	3538045.835228	0.0250
1598544198.920	118.757	31.966	666053.870844	3538045.834808	0.0250
1598544198.920	118.757	31.966	666053.870763	3538045.834331	0.0250
1598544199.020	118.757	31.966	666053.870988	3538045.834164	0.0250
1598544199.020	118.757	31.966	666053.870881	3538045.833959	0.0250
1598544199.120	118.757	31.966	666053.870487	3538045.833962	0.0250
1598544199.120	118.757	31.966	666053.870756	3538045.833578	0.0250
1598544199.220	118.757	31.966	666053.870222	3538045.834037	0.0251
1598544199.220	118.757	31.966	666053.870151	3538045.834225	0.0251
1598544199.320	118.757	31.966	666053.869978	3538045.834169	0.0251
1598544199.320	118.757	31.966	666053.869804	3538045.834053	0.0251
